"Wavelength, microns",,Wavelength (nm),E-490 W/m2/micron,,E-490 W/m2/nm
0.1195,1000,119.5,6.19E-02,1000,6.19E+01
0.1205,,120.5,0.5614,,5.61E+02
0.1215,,121.5,4.901,,4.90E+03
0.1225,,122.5,1.184,,1.18E+03
0.1235,,123.5,4.77E-02,,4.77E+01
0.1245,,124.5,3.43E-02,,3.43E+01
0.1255,,125.5,2.88E-02,,2.88E+01
0.1265,,126.5,3.52E-02,,3.52E+01
0.1275,,127.5,2.13E-02,,2.13E+01
0.1285,,128.5,1.73E-02,,1.73E+01
0.1295,,129.5,3.99E-02,,3.99E+01
0.1305,,130.5,0.1206,,1.21E+02
0.1315,,131.5,3.98E-02,,3.98E+01
0.1325,,132.5,4.13E-02,,4.13E+01
0.1335,,133.5,0.168,,1.68E+02
0.1345,,134.5,4.57E-02,,4.57E+01
0.1355,,135.5,3.80E-02,,3.80E+01
0.1365,,136.5,3.09E-02,,3.09E+01
0.1375,,137.5,2.92E-02,,2.92E+01
0.1385,,138.5,3.97E-02,,3.97E+01
0.1395,,139.5,7.56E-02,,7.56E+01
0.1405,,140.5,6.08E-02,,6.08E+01
0.1415,,141.5,4.21E-02,,4.21E+01
0.1425,,142.5,4.68E-02,,4.68E+01
0.1435,,143.5,5.11E-02,,5.11E+01
0.1445,,144.5,5.09E-02,,5.09E+01
0.1455,,145.5,5.54E-02,,5.54E+01
0.1465,,146.5,7.09E-02,,7.09E+01
0.1475,,147.5,8.49E-02,,8.49E+01
0.1485,,148.5,8.20E-02,,8.20E+01
0.1495,,149.5,7.96E-02,,7.96E+01
0.1505,,150.5,8.70E-02,,8.70E+01
0.1515,,151.5,9.27E-02,,9.27E+01
0.1525,,152.5,0.1163,,1.16E+02
0.1535,,153.5,0.1299,,1.30E+02
0.1545,,154.5,0.2059,,2.06E+02
0.1555,,155.5,0.2144,,2.14E+02
0.1565,,156.5,0.1847,,1.85E+02
0.1575,,157.5,0.1717,,1.72E+02
0.1585,,158.5,0.1675,,1.68E+02
0.1595,,159.5,0.1754,,1.75E+02
0.1605,,160.5,0.1934,,1.93E+02
0.1615,,161.5,0.2228,,2.23E+02
0.1625,,162.5,0.2519,,2.52E+02
0.1635,,163.5,0.2841,,2.84E+02
0.1645,,164.5,0.2973,,2.97E+02
0.1655,,165.5,0.4302,,4.30E+02
0.1665,,166.5,0.3989,,3.99E+02
0.1675,,167.5,0.3875,,3.88E+02
0.1685,,168.5,0.4556,,4.56E+02
0.1695,,169.5,0.5877,,5.88E+02
0.1705,,170.5,0.6616,,6.62E+02
0.1715,,171.5,0.688,,6.88E+02
0.1725,,172.5,0.7252,,7.25E+02
0.1735,,173.5,0.7645,,7.65E+02
0.1745,,174.5,0.9067,,9.07E+02
0.1755,,175.5,1.079,,1.08E+03
0.1765,,176.5,1.22,,1.22E+03
0.1775,,177.5,1.403,,1.40E+03
0.1785,,178.5,1.538,,1.54E+03
0.1795,,179.5,1.576,,1.58E+03
0.1805,,180.5,1.831,,1.83E+03
0.1815,,181.5,2.233,,2.23E+03
0.1825,,182.5,2.243,,2.24E+03
0.1835,,183.5,2.244,,2.24E+03
0.1845,,184.5,2.066,,2.07E+03
0.1855,,185.5,2.311,,2.31E+03
0.1865,,186.5,2.7,,2.70E+03
0.1875,,187.5,3.009,,3.01E+03
0.1885,,188.5,3.291,,3.29E+03
0.1895,,189.5,3.569,,3.57E+03
0.1905,,190.5,3.764,,3.76E+03
0.1915,,191.5,4.165,,4.17E+03
0.1925,,192.5,4.113,,4.11E+03
0.1935,,193.5,3.808,,3.81E+03
0.1945,,194.5,5.21,,5.21E+03
0.1955,,195.5,5.427,,5.43E+03
0.1965,,196.5,6.008,,6.01E+03
0.1975,,197.5,6.191,,6.19E+03
0.1985,,198.5,6.187,,6.19E+03
0.1995,,199.5,6.664,,6.66E+03
0.2005,,200.5,7.326,,7.33E+03
0.2015,,201.5,8.023,,8.02E+03
0.2025,,202.5,8.261,,8.26E+03
0.2035,,203.5,9.217,,9.22E+03
0.2045,,204.5,10.25,,1.03E+04
0.2055,,205.5,10.54,,1.05E+04
0.2065,,206.5,11.08,,1.11E+04
0.2075,,207.5,12.65,,1.27E+04
0.2085,,208.5,15.05,,1.51E+04
0.2095,,209.5,21.38,,2.14E+04
0.2105,,210.5,27.92,,2.79E+04
0.2115,,211.5,33.54,,3.35E+04
0.2125,,212.5,31.3,,3.13E+04
0.2135,,213.5,33.15,,3.32E+04
0.2145,,214.5,40.03,,4.00E+04
0.2155,,215.5,36.15,,3.62E+04
0.2165,,216.5,32.27,,3.23E+04
0.2175,,217.5,35.29,,3.53E+04
0.2185,,218.5,44.37,,4.44E+04
0.2195,,219.5,46.92,,4.69E+04
0.2205,,220.5,47.33,,4.73E+04
0.2215,,221.5,39.58,,3.96E+04
0.2225,,222.5,49.65,,4.97E+04
0.2235,,223.5,63.01,,6.30E+04
0.2245,,224.5,58.97,,5.90E+04
0.2255,,225.5,52.29,,5.23E+04
0.2265,,226.5,39.4,,3.94E+04
0.2275,,227.5,39.92,,3.99E+04
0.2285,,228.5,51.95,,5.20E+04
0.2295,,229.5,47.71,,4.77E+04
0.2305,,230.5,52.12,,5.21E+04
0.2315,,231.5,50.97,,5.10E+04
0.2325,,232.5,53.26,,5.33E+04
0.2335,,233.5,44.74,,4.47E+04
0.2345,,234.5,38.97,,3.90E+04
0.2355,,235.5,51.42,,5.14E+04
0.2365,,236.5,48.59,,4.86E+04
0.2375,,237.5,48.44,,4.84E+04
0.2385,,238.5,41.96,,4.20E+04
0.2395,,239.5,44.12,,4.41E+04
0.2405,,240.5,39.56,,3.96E+04
0.2415,,241.5,51.48,,5.15E+04
0.2425,,242.5,70.6,,7.06E+04
0.2435,,243.5,66.53,,6.65E+04
0.2445,,244.5,60.97,,6.10E+04
0.2455,,245.5,49.39,,4.94E+04
0.2465,,246.5,50.4,,5.04E+04
0.2475,,247.5,55.5,,5.55E+04
0.2485,,248.5,45.65,,4.57E+04
0.2495,,249.5,56.38,,5.64E+04
0.2505,,250.5,60.1,,6.01E+04
0.2515,,251.5,46.01,,4.60E+04
0.2525,,252.5,41.55,,4.16E+04
0.2535,,253.5,51.55,,5.16E+04
0.2545,,254.5,59.57,,5.96E+04
0.2555,,255.5,79.3,,7.93E+04
0.2565,,256.5,101.8,,1.02E+05
0.2575,,257.5,125.4,,1.25E+05
0.2585,,258.5,125.1,,1.25E+05
0.2595,,259.5,104,,1.04E+05
0.2605,,260.5,85.51,,8.55E+04
0.2615,,261.5,89.8,,8.98E+04
0.2625,,262.5,103.6,,1.04E+05
0.2635,,263.5,165.8,,1.66E+05
0.2645,,264.5,249.7,,2.50E+05
0.2655,,265.5,252.7,,2.53E+05
0.2665,,266.5,249.4,,2.49E+05
0.2675,,267.5,250.8,,2.51E+05
0.2685,,268.5,243.8,,2.44E+05
0.2695,,269.5,238.9,,2.39E+05
0.2705,,270.5,267.3,,2.67E+05
0.2715,,271.5,224.4,,2.24E+05
0.2725,,272.5,197.4,,1.97E+05
0.2735,,273.5,196.5,,1.97E+05
0.2745,,274.5,132.6,,1.33E+05
0.2755,,275.5,175.1,,1.75E+05
0.2765,,276.5,242.8,,2.43E+05
0.2775,,277.5,233.8,,2.34E+05
0.2785,,278.5,159.3,,1.59E+05
0.2795,,279.5,85.55,,8.56E+04
0.2805,,280.5,94.63,,9.46E+04
0.2815,,281.5,208.3,,2.08E+05
0.2825,,282.5,294.1,,2.94E+05
0.2835,,283.5,313.5,,3.14E+05
0.2845,,284.5,235.3,,2.35E+05
0.2855,,285.5,163.1,,1.63E+05
0.2865,,286.5,322.7,,3.23E+05
0.2875,,287.5,336.3,,3.36E+05
0.2885,,288.5,322.2,,3.22E+05
0.2895,,289.5,472.7,,4.73E+05
0.2905,,290.5,601.3,,6.01E+05
0.2915,,291.5,580.8,,5.81E+05
0.2925,,292.5,521.9,,5.22E+05
0.2935,,293.5,535.5,,5.36E+05
0.2945,,294.5,508.8,,5.09E+05
0.2955,,295.5,553.2,,5.53E+05
0.2965,,296.5,509.6,,5.10E+05
0.2975,,297.5,507.3,,5.07E+05
0.2985,,298.5,465.5,,4.66E+05
0.2995,,299.5,484,,4.84E+05
0.3005,,300.5,420,,4.20E+05
0.3015,,301.5,455.5,,4.56E+05
0.3025,,302.5,489,,4.89E+05
0.3035,,303.5,620.6,,6.21E+05
0.3045,,304.5,602.5,,6.03E+05
0.3055,,305.5,594.8,,5.95E+05
0.3065,,306.5,555.7,,5.56E+05
0.3075,,307.5,615,,6.15E+05
0.3085,,308.5,611.4,,6.11E+05
0.3095,,309.5,496.5,,4.97E+05
0.3105,,310.5,622.4,,6.22E+05
0.3115,,311.5,729.2,,7.29E+05
0.3125,,312.5,655.9,,6.56E+05
0.3135,,313.5,699.9,,7.00E+05
0.3145,,314.5,662.9,,6.63E+05
0.3155,,315.5,633,,6.33E+05
0.3165,,316.5,633.2,,6.33E+05
0.3175,,317.5,773.9,,7.74E+05
0.3185,,318.5,664.9,,6.65E+05
0.3195,,319.5,710.5,,7.11E+05
0.3205,,320.5,805.1,,8.05E+05
0.3215,,321.5,699.5,,7.00E+05
0.3225,,322.5,688.6,,6.89E+05
0.3235,,323.5,661.3,,6.61E+05
0.3245,,324.5,760.8,,7.61E+05
0.3255,,325.5,875.8,,8.76E+05
0.3265,,326.5,979.5,,9.80E+05
0.3275,,327.5,952.7,,9.53E+05
0.3285,,328.5,917.6,,9.18E+05
0.3295,,329.5,1061,,1.06E+06
0.3305,,330.5,1016,,1.02E+06
0.3315,,331.5,965.7,,9.66E+05
0.3325,,332.5,954.9,,9.55E+05
0.3335,,333.5,921.6,,9.22E+05
0.3345,,334.5,958.9,,9.59E+05
0.3355,,335.5,943.4,,9.43E+05
0.3365,,336.5,809.5,,8.10E+05
0.3375,,337.5,841.8,,8.42E+05
0.3385,,338.5,921.5,,9.22E+05
0.3395,,339.5,958.1,,9.58E+05
